customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
34,Customer 00034,,Germany,2021-12-26,Basic,5076.99
35,Customer 00035,,France,2021-01-28,Standard,5851.96
36,Customer 00036,,France,2021-09-03,Standard,8086.34
37,Customer 00037,,France,2021-08-14,Basic,7392.33
38,Customer 00038,,India,2022-09-28,Standard,3657.46
39,Customer 00039,,Germany,2023-02-21,Standard,1277.94
40,Customer 00040,,United States,2023-03-20,Standard,9392.72
41,Customer 00041,,India,2022-03-19,Premium,3045.61
42,Customer 00042,,Germany,2020-03-27,Basic,828.68
43,Customer 00043,,United Kingdom,2021-12-10,Basic,2689.00
44,Customer 00044,,United Kingdom,2024-03-10,Premium,2118.83
45,Customer 00045,,United States,2024-08-22,Standard,9783.46
46,Customer 00046,,Germany,2023-02-25,Premium,1145.32
47,Customer 00047,,France,2023-06-14,Premium,532.31
48,Customer 00048,,United States,2023-10-03,Premium,6689.33
49,Customer 00049,,Australia,2021-04-21,Premium,4333.77
50,Customer 00050,,United Kingdom,2021-11-07,Premium,7142.81
51,Customer 00051,customer00051@example.test,Canada,2024-04-27,Premium,5770.86
51,Customer 00052,customer00052@example.test,Japan,2020-11-19,Basic,9804.52
53,Customer 00053,customer00053@example.test,United Kingdom,2024-12-08,Standard,6821.39
53,Customer 00054,customer00054@example.test,Germany,2021-02-12,Standard,2992.79
55,Customer 00055,customer00055@example.test,Australia,2023-08-15,Premium,6839.84
55,Customer 00056,customer00056@example.test,France,2023-03-21,Basic,7745.68
57,Customer 00057,customer00057@example.test,Australia,2024-01-20,Premium,4381.84
57,Customer 00058,customer00058@example.test,Canada,2024-12-11,Premium,8768.22
59,Customer 00059,customer00059@example.test,United Kingdom,2022-03-24,Premium,9821.05
59,Customer 00060,customer00060@example.test,Germany,2024-03-13,Premium,97.17
61,Customer 00061,customer00061@example.test,Brazil,2021-09-03,Standard,2983.84
62,Customer 00062,customer00062@example.test,United States,2022-07-19,Basic,5179.04
63,Customer 00063,customer00063@example.test,Canada,2024-12-26,Basic,4907.55
64,Customer 00064,customer00064@example.test,France,2021-07-12,Premium,3467.47
65,Customer 00065,customer00065@example.test,United Kingdom,2020-11-28,Basic,2697.61
66,Customer 00066,customer00066@example.test,Canada,2024-01-11,Premium,7723.99
67,Customer 00067,customer00067@example.test,Germany,2021-11-21,Basic,7071.60
68,Customer 00068,customer00068@example.test,France,2024-03-30,Premium,6406.32
69,Customer 00069,customer00069@example.test,Japan,2024-10-19,Standard,5403.10
70,Customer 00070,customer00070@example.test,Brazil,2021-11-02,Standard,7017.65
71,Customer 00071,customer00071@example.test,Canada,2020-07-14,Premium,5006.46
72,Customer 00072,customer00072@example.test,France,2021-10-24,Premium,2734.53
73,Customer 00073,customer00073@example.test,France,2022-02-24,Standard,7903.71
74,Customer 00074,customer00074@example.test,India,2021-06-30,Standard,6107.54
75,Customer 00075,customer00075@example.test,Australia,2024-01-20,Standard,6854.36
76,Customer 00076,customer00076@example.test,France,2022-01-06,Premium,7002.24
77,Customer 00077,customer00077@example.test,United Kingdom,2020-08-30,Standard,1674.75
78,Customer 00078,customer00078@example.test,United States,2022-04-10,Basic,8072.36
79,Customer 00079,customer00079@example.test,Brazil,2021-09-28,Basic,9606.32
80,Customer 00080,customer00080@example.test,India,2021-08-27,Basic,2315.77
81,Customer 00081,customer00081@example.test,Canada,2021-03-24,Standard,1606.26
82,Customer 00082,customer00082@example.test,India,2022-07-20,Standard,7360.38
83,Customer 00083,customer00083@example.test,United Kingdom,2023-01-29,Basic,8409.52
84,Customer 00084,customer00084@example.test,France,2023-09-22,Premium,7133.90
85,Customer 00085,customer00085@example.test,Brazil,2024-03-25,Basic,4684.49
86,Customer 00086,customer00086@example.test,India,2022-12-17,Premium,9618.00
87,Customer 00087,customer00087@example.test,Brazil,2023-03-01,Premium,8690.32
88,Customer 00088,customer00088@example.test,United States,2023-01-26,Premium,6005.21
89,Customer 00089,customer00089@example.test,Canada,2023-01-04,Premium,3440.56
90,Customer 00090,customer00090@example.test,United States,2024-10-15,Standard,1218.86
91,Customer 00091,customer00091@example.test,France,2023-10-25,Basic,6114.74
92,Customer 00092,customer00092@example.test,Brazil,2022-09-28,Basic,4671.22
93,Customer 00093,customer00093@example.test,Australia,2024-07-14,Standard,1383.53
94,Customer 00094,customer00094@example.test,Japan,2022-11-17,Standard,5913.03
95,Customer 00095,customer00095@example.test,United States,2020-04-28,Standard,7054.48
96,Customer 00096,customer00096@example.test,Germany,2024-07-10,Basic,228.27
97,Customer 00097,customer00097@example.test,Germany,2022-03-21,Premium,7820.32
98,Customer 00098,customer00098@example.test,Brazil,2021-03-22,Premium,4442.78
99,Customer 00099,customer00099@example.test,Brazil,2021-12-06,Basic,631.82
100,Customer 00100,customer00100@example.test,United Kingdom,2020-05-21,Premium,3010.36
101,Customer 00101,customer00101@example.test,Canada,2022-04-17,Premium,8030.28
102,Customer 00102,customer00102@example.test,Japan,2023-08-06,Standard,9346.31
103,Customer 00103,customer00103@example.test,United Kingdom,2022-02-22,Standard,3938.92
104,Customer 00104,customer00104@example.test,United States,2020-06-13,Premium,6852.80
105,Customer 00105,customer00105@example.test,India,2024-10-27,Premium,1871.43
106,Customer 00106,customer00106@example.test,Japan,2023-01-05,Basic,1335.33
107,Customer 00107,customer00107@example.test,France,2024-01-30,Premium,7929.11
108,Customer 00108,customer00108@example.test,Germany,2020-02-16,Standard,7062.15
109,Customer 00109,customer00109@example.test,United States,2024-01-12,Standard,5577.72
110,Customer 00110,customer00110@example.test,France,2022-02-15,Premium,4830.00
111,Customer 00111,customer00111@example.test,Canada,2021-12-09,Standard,1976.36
112,Customer 00112,customer00112@example.test,Brazil,2024-11-27,Premium,8487.99
113,Customer 00113,customer00113@example.test,Japan,2023-09-14,Basic,8032.65
114,Customer 00114,customer00114@example.test,Australia,2024-12-14,Premium,2160.92
115,Customer 00115,customer00115@example.test,Brazil,2020-05-17,Basic,352.07
116,Customer 00116,customer00116@example.test,Australia,2022-07-03,Premium,7765.13
117,Customer 00117,customer00117@example.test,Japan,2020-03-31,Standard,2457.22
118,Customer 00118,customer00118@example.test,France,2023-01-10,Premium,1469.42
119,Customer 00119,customer00119@example.test,Germany,2022-10-28,Premium,8554.13
120,Customer 00120,customer00120@example.test,India,2024-02-07,Basic,6269.62
121,Customer 00121,customer00121@example.test,India,2024-05-01,Premium,3164.22
122,Customer 00122,customer00122@example.test,Canada,2024-11-29,Basic,5465.71
123,Customer 00123,customer00123@example.test,Japan,2021-03-28,Standard,2885.19
124,Customer 00124,customer00124@example.test,United States,2020-05-04,Basic,9224.46
125,Customer 00125,customer00125@example.test,Canada,2024-02-14,Basic,7117.21
126,Customer 00126,customer00126@example.test,United States,2022-05-24,Standard,491.61
127,Customer 00127,customer00127@example.test,Japan,2021-12-06,Basic,3342.17
128,Customer 00128,customer00128@example.test,Japan,2023-11-27,Standard,1564.66
129,Customer 00129,customer00129@example.test,Japan,2021-09-06,Premium,7910.62
130,Customer 00130,customer00130@example.test,United Kingdom,2023-01-06,Premium,8905.98
131,Customer 00131,customer00131@example.test,Germany,2021-04-06,Basic,1513.63
132,Customer 00132,customer00132@example.test,United Kingdom,2024-07-08,Premium,5897.04
133,Customer 00133,customer00133@example.test,Japan,2022-04-25,Basic,5557.36
134,Customer 00134,customer00134@example.test,Japan,2020-10-01,Premium,2673.82
135,Customer 00135,customer00135@example.test,India,2021-02-20,Basic,829.11
136,Customer 00136,customer00136@example.test,India,2022-07-10,Premium,5616.54
137,Customer 00137,customer00137@example.test,France,2024-01-23,Premium,2815.02
138,Customer 00138,customer00138@example.test,Australia,2022-02-11,Premium,1973.03
139,Customer 00139,customer00139@example.test,United States,2024-07-05,Premium,5026.81
140,Customer 00140,customer00140@example.test,India,2021-03-03,Standard,9531.49
141,Customer 00141,customer00141@example.test,France,2020-02-01,Premium,7774.93
142,Customer 00142,customer00142@example.test,United Kingdom,2020-08-28,Premium,7294.17
143,Customer 00143,customer00143@example.test,France,2023-05-22,Standard,9595.79
144,Customer 00144,customer00144@example.test,United States,2021-05-05,Standard,8131.85
145,Customer 00145,customer00145@example.test,Japan,2021-08-02,Standard,5595.72
146,Customer 00146,customer00146@example.test,India,2023-08-21,Standard,2742.67
147,Customer 00147,customer00147@example.test,United States,2022-01-06,Standard,4886.40
148,Customer 00148,customer00148@example.test,United Kingdom,2020-07-20,Standard,9587.45
149,Customer 00149,customer00149@example.test,India,2021-02-20,Standard,4340.37
150,Customer 00150,customer00150@example.test,France,2020-04-03,Basic,1530.11
151,Customer 00151,customer00151@example.test,Germany,2020-02-03,Basic,9801.65
152,Customer 00152,customer00152@example.test,Japan,2023-04-11,Standard,1598.14
153,Customer 00153,customer00153@example.test,India,2021-02-05,Premium,3982.90
154,Customer 00154,customer00154@example.test,France,2023-03-12,Standard,5773.90
155,Customer 00155,customer00155@example.test,India,2023-09-02,Standard,8004.41
156,Customer 00156,customer00156@example.test,United Kingdom,2024-08-09,Basic,6728.65
157,Customer 00157,customer00157@example.test,United Kingdom,2024-02-23,Standard,1764.05
158,Customer 00158,customer00158@example.test,India,2024-02-09,Premium,1467.57
159,Customer 00159,customer00159@example.test,United States,2024-01-15,Standard,1929.88
160,Customer 00160,customer00160@example.test,United States,2024-12-26,Basic,615.85
161,Customer 00161,customer00161@example.test,Australia,2022-12-09,Premium,9911.01
162,Customer 00162,customer00162@example.test,Australia,2024-08-02,Premium,4324.24
163,Customer 00163,customer00163@example.test,France,2020-10-08,Premium,7415.21
164,Customer 00164,customer00164@example.test,Australia,2020-11-05,Premium,5302.99
165,Customer 00165,customer00165@example.test,India,2022-07-22,Premium,6478.47
166,Customer 00166,customer00166@example.test,United Kingdom,2023-07-30,Basic,5115.52
167,Customer 00167,customer00167@example.test,Australia,2020-02-02,Basic,5784.40
168,Customer 00168,customer00168@example.test,Australia,2022-04-22,Premium,5551.34
169,Customer 00169,customer00169@example.test,Germany,2024-01-19,Basic,3006.14
170,Customer 00170,customer00170@example.test,United States,2020-02-05,Basic,7067.74
171,Customer 00171,customer00171@example.test,Canada,2022-05-31,Premium,9626.43
172,Customer 00172,customer00172@example.test,United States,2020-07-16,Premium,2526.74
173,Customer 00173,customer00173@example.test,United States,2021-01-28,Standard,8548.14
174,Customer 00174,customer00174@example.test,Germany,2021-12-26,Standard,828.57
175,Customer 00175,customer00175@example.test,Japan,2022-02-03,Standard,5924.47
176,Customer 00176,customer00176@example.test,France,2021-05-13,Standard,7172.69
177,Customer 00177,customer00177@example.test,Brazil,2024-08-22,Basic,8999.08
178,Customer 00178,customer00178@example.test,Australia,2023-08-23,Premium,4249.65
179,Customer 00179,customer00179@example.test,Japan,2022-02-15,Basic,4991.27
180,Customer 00180,customer00180@example.test,Australia,2020-04-24,Basic,1797.08
181,Customer 00181,customer00181@example.test,United Kingdom,2020-06-18,Standard,6762.34
182,Customer 00182,customer00182@example.test,India,2024-05-25,Basic,8996.36
183,Customer 00183,customer00183@example.test,United States,2020-07-14,Premium,2409.27
184,Customer 00184,customer00184@example.test,United Kingdom,2021-03-08,Standard,488.23
185,Customer 00185,customer00185@example.test,Germany,2020-06-01,Basic,5908.82
186,Customer 00186,customer00186@example.test,Australia,2023-09-09,Premium,9738.82
187,Customer 00187,customer00187@example.test,India,2024-10-07,Premium,2172.21
188,Customer 00188,customer00188@example.test,Canada,2023-04-17,Basic,8607.78
189,Customer 00189,customer00189@example.test,Brazil,2022-03-26,Standard,1703.41
190,Customer 00190,customer00190@example.test,France,2023-02-28,Basic,8751.94
191,Customer 00191,customer00191@example.test,Japan,2024-10-05,Basic,9400.75
192,Customer 00192,customer00192@example.test,India,2023-01-12,Standard,7923.13
193,Customer 00193,customer00193@example.test,Canada,2024-02-23,Basic,7593.40
194,Customer 00194,customer00194@example.test,United States,2020-06-09,Basic,3626.59
195,Customer 00195,customer00195@example.test,Brazil,2020-04-19,Standard,2434.20
196,Customer 00196,customer00196@example.test,Brazil,2024-09-13,Standard,6345.65
197,Customer 00197,customer00197@example.test,Japan,2024-04-23,Standard,310.64
198,Customer 00198,customer00198@example.test,Germany,2023-07-22,Standard,5144.35
199,Customer 00199,customer00199@example.test,India,2021-04-12,Basic,9868.59
200,Customer 00200,customer00200@example.test,Japan,2022-02-07,Premium,7127.11
201,Customer 00201,customer00201@example.test,Japan,2023-04-14,Premium,8096.76
202,Customer 00202,customer00202@example.test,Germany,2023-06-20,Premium,7477.48
203,Customer 00203,customer00203@example.test,Brazil,2020-05-30,Standard,1617.12
204,Customer 00204,customer00204@example.test,Canada,2022-02-17,Basic,4085.48
205,Customer 00205,customer00205@example.test,India,2021-10-10,Premium,959.66
206,Customer 00206,customer00206@example.test,Germany,2020-01-11,Standard,3774.00
207,Customer 00207,customer00207@example.test,Germany,2024-04-08,Premium,1389.43
208,Customer 00208,customer00208@example.test,Canada,2020-06-27,Standard,4706.46
209,Customer 00209,customer00209@example.test,United States,2023-02-14,Basic,4278.65
210,Customer 00210,customer00210@example.test,Australia,2020-07-30,Premium,3711.06
211,Customer 00211,customer00211@example.test,Brazil,2023-02-09,Basic,6270.94
212,Customer 00212,customer00212@example.test,India,2024-05-25,Standard,129.40
213,Customer 00213,customer00213@example.test,Japan,2021-08-20,Standard,8170.18
214,Customer 00214,customer00214@example.test,United States,2020-06-22,Premium,5997.43
215,Customer 00215,customer00215@example.test,Canada,2022-12-03,Basic,3992.26
216,Customer 00216,customer00216@example.test,Canada,2020-12-13,Standard,3157.59
217,Customer 00217,customer00217@example.test,United Kingdom,2021-07-03,Premium,663.40
218,Customer 00218,customer00218@example.test,Japan,2020-12-08,Standard,4415.57
219,Customer 00219,customer00219@example.test,United Kingdom,2021-09-05,Premium,3786.66
220,Customer 00220,customer00220@example.test,France,2021-05-30,Basic,6553.95
221,Customer 00221,customer00221@example.test,France,2022-10-12,Standard,1121.68
222,Customer 00222,customer00222@example.test,Germany,2020-10-04,Premium,9949.13
223,Customer 00223,customer00223@example.test,India,2022-03-21,Basic,3983.43
224,Customer 00224,customer00224@example.test,India,2024-07-04,Standard,3509.96
225,Customer 00225,customer00225@example.test,Canada,2022-05-31,Standard,3362.41
226,Customer 00226,customer00226@example.test,France,2023-05-20,Standard,3294.45
227,Customer 00227,customer00227@example.test,Japan,2020-12-29,Standard,3056.05
228,Customer 00228,customer00228@example.test,United Kingdom,2024-02-14,Basic,8199.59
229,Customer 00229,customer00229@example.test,India,2021-05-11,Standard,2939.16
230,Customer 00230,customer00230@example.test,Japan,2024-07-30,Standard,1194.20
231,Customer 00231,customer00231@example.test,France,2023-02-28,Basic,5721.33
232,Customer 00232,customer00232@example.test,United States,2021-01-03,Premium,9992.97
233,Customer 00233,customer00233@example.test,United Kingdom,2024-01-29,Basic,2198.32
234,Customer 00234,customer00234@example.test,Germany,2022-06-16,Basic,725.18
235,Customer 00235,customer00235@example.test,Japan,2024-08-04,Basic,5235.57
236,Customer 00236,customer00236@example.test,Germany,2020-10-12,Premium,2649.55
237,Customer 00237,customer00237@example.test,Canada,2023-09-10,Basic,4436.81
238,Customer 00238,customer00238@example.test,Japan,2024-06-04,Premium,4708.80
239,Customer 00239,customer00239@example.test,United Kingdom,2023-05-09,Basic,4202.74
240,Customer 00240,customer00240@example.test,United States,2022-12-30,Basic,4386.20
241,Customer 00241,customer00241@example.test,Australia,2023-01-18,Standard,7357.16
242,Customer 00242,customer00242@example.test,United States,2024-07-21,Basic,6691.80
243,Customer 00243,customer00243@example.test,Brazil,2020-06-23,Premium,6895.45
244,Customer 00244,customer00244@example.test,India,2023-09-23,Premium,6784.28
245,Customer 00245,customer00245@example.test,Australia,2023-06-08,Basic,6763.64
246,Customer 00246,customer00246@example.test,Japan,2023-10-19,Standard,8349.08
247,Customer 00247,customer00247@example.test,Brazil,2022-05-31,Premium,1033.96
248,Customer 00248,customer00248@example.test,France,2021-06-13,Basic,7831.32
249,Customer 00249,customer00249@example.test,United States,2022-11-28,Basic,7210.68
250,Customer 00250,customer00250@example.test,France,2023-03-24,Standard,3922.92
251,Customer 00251,customer00251@example.test,United Kingdom,2022-03-12,Basic,6171.81
252,Customer 00252,customer00252@example.test,United States,2023-11-15,Premium,3617.24
253,Customer 00253,customer00253@example.test,United Kingdom,2020-02-20,Premium,3097.83
254,Customer 00254,customer00254@example.test,Brazil,2022-05-01,Premium,8716.99
255,Customer 00255,customer00255@example.test,Canada,2024-02-04,Standard,3270.40
256,Customer 00256,customer00256@example.test,United Kingdom,2021-12-03,Premium,5464.28
257,Customer 00257,customer00257@example.test,India,2022-09-16,Standard,1023.65
258,Customer 00258,customer00258@example.test,United Kingdom,2022-06-16,Standard,704.37
259,Customer 00259,customer00259@example.test,Australia,2021-09-06,Basic,1206.75
260,Customer 00260,customer00260@example.test,India,2020-02-16,Basic,1146.75
261,Customer 00261,customer00261@example.test,Canada,2023-10-18,Basic,2557.61
262,Customer 00262,customer00262@example.test,Canada,2022-11-22,Basic,1679.14
263,Customer 00263,customer00263@example.test,United States,2021-11-08,Standard,4844.98
264,Customer 00264,customer00264@example.test,Japan,2021-04-19,Basic,1934.11
265,Customer 00265,customer00265@example.test,Japan,2021-01-16,Standard,306.10
266,Customer 00266,customer00266@example.test,France,2024-02-19,Standard,6209.70
267,Customer 00267,customer00267@example.test,Japan,2022-05-29,Premium,7389.68
268,Customer 00268,customer00268@example.test,France,2021-03-15,Standard,7888.70
269,Customer 00269,customer00269@example.test,Brazil,2023-12-12,Basic,1066.94
270,Customer 00270,customer00270@example.test,United States,2024-06-25,Premium,3835.61
271,Customer 00271,customer00271@example.test,France,2021-10-29,Standard,1194.90
272,Customer 00272,customer00272@example.test,United Kingdom,2021-06-21,Basic,6701.53
273,Customer 00273,customer00273@example.test,Japan,2021-10-03,Basic,4116.12
274,Customer 00274,customer00274@example.test,Brazil,2023-04-17,Standard,3690.82
275,Customer 00275,customer00275@example.test,United Kingdom,2024-09-27,Basic,1809.08
276,Customer 00276,customer00276@example.test,Germany,2024-07-24,Basic,6188.36
277,Customer 00277,customer00277@example.test,Canada,2020-06-22,Standard,1235.86
278,Customer 00278,customer00278@example.test,Germany,2021-05-03,Premium,1919.36
279,Customer 00279,customer00279@example.test,Canada,2022-02-03,Basic,4073.33
280,Customer 00280,customer00280@example.test,Canada,2022-05-06,Basic,4023.49
281,Customer 00281,customer00281@example.test,Canada,2022-05-16,Standard,6663.71
282,Customer 00282,customer00282@example.test,Canada,2023-01-05,Basic,1749.71
283,Customer 00283,customer00283@example.test,Germany,2022-09-29,Premium,1961.87
284,Customer 00284,customer00284@example.test,United Kingdom,2021-10-06,Basic,562.15
285,Customer 00285,customer00285@example.test,India,2024-11-07,Premium,5081.49
286,Customer 00286,customer00286@example.test,France,2020-10-06,Standard,5888.61
287,Customer 00287,customer00287@example.test,United Kingdom,2022-11-01,Standard,7179.56
288,Customer 00288,customer00288@example.test,Japan,2022-10-04,Basic,8806.90
289,Customer 00289,customer00289@example.test,United Kingdom,2022-06-28,Premium,866.86
290,Customer 00290,customer00290@example.test,Australia,2023-03-03,Premium,3062.78
291,Customer 00291,customer00291@example.test,Germany,2020-03-07,Premium,5637.23
292,Customer 00292,customer00292@example.test,Canada,2021-08-14,Standard,5931.27
293,Customer 00293,customer00293@example.test,United Kingdom,2024-02-29,Basic,5356.18
294,Customer 00294,customer00294@example.test,Brazil,2020-08-19,Standard,8127.64
295,Customer 00295,customer00295@example.test,India,2023-01-17,Basic,8625.70
296,Customer 00296,customer00296@example.test,Australia,2024-03-29,Basic,4628.06
297,Customer 00297,customer00297@example.test,France,2023-01-23,Standard,1073.91
298,Customer 00298,customer00298@example.test,France,2024-02-16,Standard,9173.04
299,Customer 00299,customer00299@example.test,United Kingdom,2020-03-07,Standard,3655.09
300,Customer 00300,customer00300@example.test,Brazil,2024-10-31,Standard,9073.22
301,Customer 00301,customer00301@example.test,France,2020-08-28,Premium,8500.83
302,Customer 00302,customer00302@example.test,India,2024-02-19,Basic,6399.05
303,Customer 00303,customer00303@example.test,Japan,2023-07-19,Premium,6460.81
304,Customer 00304,customer00304@example.test,France,2020-10-12,Premium,8445.65
305,Customer 00305,customer00305@example.test,India,2020-05-01,Basic,2947.39
306,Customer 00306,customer00306@example.test,United States,2023-05-07,Premium,3393.75
307,Customer 00307,customer00307@example.test,Germany,2023-12-12,Standard,6005.56
308,Customer 00308,customer00308@example.test,United States,2021-07-01,Basic,8547.79
309,Customer 00309,customer00309@example.test,Canada,2020-07-14,Standard,9633.98
310,Customer 00310,customer00310@example.test,Germany,2020-05-01,Basic,1330.51
311,Customer 00311,customer00311@example.test,Canada,2023-12-07,Premium,1533.47
312,Customer 00312,customer00312@example.test,India,2023-12-27,Premium,7984.62
313,Customer 00313,customer00313@example.test,Japan,2024-09-23,Standard,1490.77
314,Customer 00314,customer00314@example.test,Germany,2023-03-28,Basic,4343.46
315,Customer 00315,customer00315@example.test,United Kingdom,2022-02-07,Premium,6644.06
316,Customer 00316,customer00316@example.test,Brazil,2024-06-15,Standard,5406.59
317,Customer 00317,customer00317@example.test,Germany,2024-03-15,Basic,9818.19
318,Customer 00318,customer00318@example.test,India,2024-12-01,Standard,9964.13
319,Customer 00319,customer00319@example.test,India,2022-09-26,Basic,25.93
320,Customer 00320,customer00320@example.test,Brazil,2024-11-14,Basic,4807.18
321,Customer 00321,customer00321@example.test,India,2023-07-24,Premium,8343.28
322,Customer 00322,customer00322@example.test,Japan,2022-12-30,Premium,4505.13
323,Customer 00323,customer00323@example.test,France,2024-08-16,Standard,2815.81
324,Customer 00324,customer00324@example.test,Germany,2021-10-23,Standard,5738.96
325,Customer 00325,customer00325@example.test,Canada,2023-03-29,Basic,8938.29
326,Customer 00326,customer00326@example.test,India,2022-09-20,Basic,7992.81
327,Customer 00327,customer00327@example.test,Australia,2020-04-09,Premium,6565.96
328,Customer 00328,customer00328@example.test,United Kingdom,2024-05-24,Premium,1302.72
329,Customer 00329,customer00329@example.test,Canada,2024-10-22,Standard,4786.93
330,Customer 00330,customer00330@example.test,Japan,2020-01-02,Premium,7220.40
331,Customer 00331,customer00331@example.test,Germany,2020-09-27,Premium,9168.99
332,Customer 00332,customer00332@example.test,Germany,2024-11-30,Premium,6863.85
333,Customer 00333,customer00333@example.test,Germany,2022-01-08,Premium,3899.06
334,Customer 00334,customer00334@example.test,Canada,2023-09-22,Premium,4155.94
335,Customer 00335,customer00335@example.test,Germany,2023-07-05,Basic,7334.17
336,Customer 00336,customer00336@example.test,France,2024-03-26,Standard,6873.26
337,Customer 00337,customer00337@example.test,Brazil,2020-07-05,Premium,2237.88
338,Customer 00338,customer00338@example.test,Brazil,2022-09-03,Premium,6225.18
339,Customer 00339,customer00339@example.test,United States,2021-04-08,Basic,4666.86
340,Customer 00340,customer00340@example.test,Australia,2020-01-20,Basic,3602.63
341,Customer 00341,customer00341@example.test,Brazil,2024-07-31,Standard,7277.44
342,Customer 00342,customer00342@example.test,United Kingdom,2020-09-27,Premium,2400.68
343,Customer 00343,customer00343@example.test,Brazil,2022-02-23,Basic,8451.06
344,Customer 00344,customer00344@example.test,Brazil,2020-07-28,Standard,3854.16
345,Customer 00345,customer00345@example.test,Germany,2024-12-09,Premium,4013.12
346,Customer 00346,customer00346@example.test,Canada,2024-05-03,Basic,7100.29
347,Customer 00347,customer00347@example.test,Brazil,2020-10-19,Basic,5906.53
348,Customer 00348,customer00348@example.test,Canada,2020-01-18,Standard,3682.47
349,Customer 00349,customer00349@example.test,France,2024-01-19,Basic,7846.16
350,Customer 00350,customer00350@example.test,Japan,2020-11-06,Basic,7199.16
351,Customer 00351,customer00351@example.test,France,2022-06-25,Premium,9401.45
352,Customer 00352,customer00352@example.test,Canada,2020-07-24,Premium,6182.13
353,Customer 00353,customer00353@example.test,Japan,2024-02-04,Standard,4502.46
354,Customer 00354,customer00354@example.test,Canada,2021-10-06,Premium,2904.21
355,Customer 00355,customer00355@example.test,Brazil,2023-08-13,Premium,5802.78
356,Customer 00356,customer00356@example.test,Germany,2023-05-15,Basic,281.27
357,Customer 00357,customer00357@example.test,Germany,2024-10-02,Premium,5428.99
358,Customer 00358,customer00358@example.test,United States,2023-05-27,Premium,7841.70
359,Customer 00359,customer00359@example.test,Germany,2022-03-13,Basic,572.19
360,Customer 00360,customer00360@example.test,France,2024-05-24,Standard,4046.30
361,Customer 00361,customer00361@example.test,France,2020-08-18,Standard,6690.77
362,Customer 00362,customer00362@example.test,Brazil,2023-05-01,Basic,9318.95
363,Customer 00363,customer00363@example.test,India,2020-01-25,Standard,1383.94
364,Customer 00364,customer00364@example.test,Japan,2022-03-03,Standard,5728.96
365,Customer 00365,customer00365@example.test,Canada,2023-10-30,Standard,8077.88
366,Customer 00366,customer00366@example.test,Australia,2020-05-29,Basic,708.13
367,Customer 00367,customer00367@example.test,Germany,2020-01-29,Premium,417.61
368,Customer 00368,customer00368@example.test,Japan,2020-05-03,Basic,3004.04
369,Customer 00369,customer00369@example.test,United States,2023-07-11,Standard,4441.50
370,Customer 00370,customer00370@example.test,Japan,2023-12-08,Premium,6716.52
371,Customer 00371,customer00371@example.test,United States,2023-01-03,Basic,1600.97
372,Customer 00372,customer00372@example.test,Brazil,2021-07-22,Standard,828.60
373,Customer 00373,customer00373@example.test,France,2022-11-13,Premium,5624.45
374,Customer 00374,customer00374@example.test,Japan,2021-10-31,Basic,6651.05
375,Customer 00375,customer00375@example.test,Brazil,2024-04-12,Standard,7326.14
376,Customer 00376,customer00376@example.test,France,2022-06-14,Premium,2563.55
377,Customer 00377,customer00377@example.test,Japan,2020-06-25,Premium,4753.94
378,Customer 00378,customer00378@example.test,Australia,2023-06-07,Standard,6984.35
379,Customer 00379,customer00379@example.test,Canada,2024-02-27,Premium,132.80
